Names_from_dataframe,ProteinGroups,Genes
AHSG,P02765,AHSG
APMAP,Q9HDC9,APMAP
B2M.1,P61769,B2M
C9,P02748,C9
CDH2,P19022,CDH2
CLEC3B,E9PHK0;P05452,CLEC3B
COMP,G3XAP6;P49747,COMP
F9,P00740,F9
H6PD,O95479;O95479-2,H6PD
HSPA8,E9PKE3;P11142,HSPA8
IGFBP3,A6XND0;A6XND1;P17936;P17936-2,IGFBP3
IGHV1.24,A0A0C4DH33,IGHV1-24
ITIH4.1,B7ZKJ8,ITIH4
KRT2,P35908,KRT2
KRT6B,P04259,KRT6B
KRT78,Q8N1N4,KRT78
LRG1,P02750,LRG1
MCAM,P43121,MCAM
MRC1,P22897,MRC1
PKM,P14618,PKM
TNXB,A0A140T8Y3;A0A140T9C0;A0A140TA41;A0A140TA52;A0A3B3ISX9;P22105;P22105-1;P22105-4,TNXB